,city_id,abbr,city,metric_name,group_name,est,state,population,lat,lon,walk_score,transit_score,bike_score
0,614,AL,Auburn,Air pollution - particulate matter,total population,9.1,Alabama,58582,32.6098566,-85.4807825,,,
1,248,AL,Birmingham,Air pollution - particulate matter,total population,9.9,Alabama,212113,33.5206608,-86.80249,33.2,21.5,30.7
2,439,DE,Wilmington,Air pollution - particulate matter,total population,8.7,Delaware,71525,39.7390721,-75.5397878,,,
3,323,DC,Washington,Air pollution - particulate matter,total population,8.6,District of Columbia,646449,38.9071923,-77.0368707,76.7,68.7,69.5
4,455,AL,Decatur,Air pollution - particulate matter,total population,8.6,Alabama,55816,34.6059253,-86.9833417,,,
5,984,FL,Boca Raton,Air pollution - particulate matter,total population,7.4,Florida,89407,26.3683064,-80.1289321,,,
6,400,FL,Boynton Beach,Air pollution - particulate matter,total population,7.3,Florida,71097,26.5317866,-80.0905465,,,
7,731,FL,Bradenton,Air pollution - particulate matter,total population,7.5,Florida,51763,27.4989278,-82.5748194,,,
8,825,FL,Cape Coral,Air pollution - particulate matter,total population,7.4,Florida,165831,26.5628537,-81.9495331,,,
9,934,AL,Dothan,Air pollution - particulate matter,total population,8.2,Alabama,68001,31.2232313,-85.3904888,,,
10,740,FL,Clearwater,Air pollution - particulate matter,total population,7.8,Florida,109703,27.9658533,-82.8001026,,,
11,730,FL,Coconut Creek,Air pollution - particulate matter,total population,7.7,Florida,56792,26.2517482,-80.1789351,,,
12,81,FL,Coral Springs,Air pollution - particulate matter,total population,7.8,Florida,126604,26.271192,-80.2706044,,,
13,372,FL,Davie,Air pollution - particulate matter,total population,7.9,Florida,96830,26.0764783,-80.2521157,,,
14,24,FL,Daytona Beach,Air pollution - particulate matter,total population,7.0,Florida,62316,29.2108147,-81.0228331,,,
15,62,FL,Deerfield Beach,Air pollution - particulate matter,total population,7.5,Florida,78041,26.3184123,-80.0997657,,,
16,416,FL,Delray Beach,Air pollution - particulate matter,total population,7.3,Florida,64072,26.4614625,-80.0728201,,,
17,667,FL,Deltona,Air pollution - particulate matter,total population,7.0,Florida,86290,28.9005446,-81.2636738,,,
18,18,FL,Doral,Air pollution - particulate matter,total population,8.3,Florida,50213,25.8195424,-80.3553302,,,
19,738,FL,Fort Lauderdale,Air pollution - particulate matter,total population,7.8,Florida,172389,26.1224386,-80.1373174,,,
20,548,FL,Fort Myers,Air pollution - particulate matter,total population,7.4,Florida,68190,26.640628,-81.8723084,,,
21,878,FL,Gainesville,Air pollution - particulate matter,total population,7.5,Florida,127488,29.6516344,-82.3248262,,,
22,852,FL,Hialeah,Air pollution - particulate matter,total population,8.3,Florida,233394,25.8575963,-80.2781057,67.9,39.0,50.6
23,88,FL,Hollywood,Air pollution - particulate matter,total population,7.8,Florida,146526,26.0112014,-80.1494901,,,
24,809,FL,Homestead,Air pollution - particulate matter,total population,7.5,Florida,64079,25.4687224,-80.4775569,,,
25,170,FL,Jacksonville,Air pollution - particulate matter,total population,8.2,Florida,842583,30.3321838,-81.655651,25.6,20.8,40.5
26,592,FL,Jupiter,Air pollution - particulate matter,total population,7.1,Florida,58298,26.9342246,-80.0942087,,,
27,238,FL,Kissimmee,Air pollution - particulate matter,total population,7.8,Florida,65173,28.2919557,-81.407571,,,
28,523,FL,Lakeland,Air pollution - particulate matter,total population,7.7,Florida,100710,28.0394654,-81.9498042,,,
29,833,FL,Largo,Air pollution - particulate matter,total population,7.7,Florida,78409,27.9094665,-82.7873244,,,
30,989,FL,Lauderhill,Air pollution - particulate matter,total population,7.9,Florida,69813,26.1403635,-80.2133808,,,
31,748,FL,Margate,Air pollution - particulate matter,total population,7.8,Florida,55456,26.2445263,-80.206436,,,
32,281,FL,Melbourne,Air pollution - particulate matter,total population,6.6,Florida,77508,28.0836269,-80.6081089,,,
33,752,FL,Miami,Air pollution - particulate matter,total population,8.0,Florida,417650,25.7616798,-80.1917902,76.6,57.0,64.0
34,460,FL,Miami Beach,Air pollution - particulate matter,total population,7.7,Florida,91026,25.790654,-80.1300455,,,
35,278,FL,Miami Gardens,Air pollution - particulate matter,total population,8.1,Florida,111378,25.9420377,-80.2456045,,,
36,718,FL,Miramar,Air pollution - particulate matter,total population,8.0,Florida,130288,25.9860762,-80.3035602,,,
37,267,FL,North Miami,Air pollution - particulate matter,total population,7.9,Florida,61007,25.8900949,-80.1867138,,,
38,793,FL,North Port,Air pollution - particulate matter,total population,7.2,Florida,59212,27.044224,-82.2359254,,,
39,970,FL,Ocala,Air pollution - particulate matter,total population,7.5,Florida,57468,29.1871986,-82.1400923,,,
40,257,FL,Orlando,Air pollution - particulate matter,total population,7.6,Florida,255483,28.5383355,-81.3792365,41.1,32.7,56.8
41,283,FL,Palm Bay,Air pollution - particulate matter,total population,6.6,Florida,104898,28.0344621,-80.5886646,,,
42,837,FL,Palm Beach Gardens,Air pollution - particulate matter,total population,7.2,Florida,50699,26.8233946,-80.1386547,,,
43,629,FL,Palm Coast,Air pollution - particulate matter,total population,7.0,Florida,78740,29.5844524,-81.2078699,,,
44,654,FL,Pembroke Pines,Air pollution - particulate matter,total population,8.0,Florida,162329,26.007765,-80.2962555,,,
45,511,FL,Pensacola,Air pollution - particulate matter,total population,8.1,Florida,52703,30.421309,-87.2169149,,,
46,553,FL,Plantation,Air pollution - particulate matter,total population,7.9,Florida,90268,26.1275862,-80.2331036,,,
47,354,FL,Pompano Beach,Air pollution - particulate matter,total population,7.6,Florida,104410,26.2378597,-80.1247667,,,
48,703,FL,Port Orange,Air pollution - particulate matter,total population,6.9,Florida,57203,29.1383165,-80.9956105,,,
49,714,FL,Port St. Lucie,Air pollution - particulate matter,total population,7.2,Florida,171016,27.2730492,-80.3582261,,,
50,708,FL,St. Petersburg,Air pollution - particulate matter,total population,7.8,Florida,249688,27.773056,-82.64,43.0,33.5,58.5
51,298,FL,Sanford,Air pollution - particulate matter,total population,7.1,Florida,56002,28.8028612,-81.269453,,,
52,558,FL,Sarasota,Air pollution - particulate matter,total population,7.3,Florida,53326,27.3364347,-82.5306527,,,
53,498,FL,Sunrise,Air pollution - particulate matter,total population,7.9,Florida,90116,26.1669711,-80.256595,,,
54,150,FL,Tallahassee,Air pollution - particulate matter,total population,8.2,Florida,186411,30.4382559,-84.2807329,,,
55,652,FL,Tamarac,Air pollution - particulate matter,total population,7.9,Florida,63155,26.2128609,-80.2497707,,,
56,549,FL,Tampa,Air pollution - particulate matter,total population,8.3,Florida,352957,27.950575,-82.4571776,49.5,31.3,55.2
57,417,FL,Wellington,Air pollution - particulate matter,total population,7.6,Florida,60202,26.6617635,-80.2683571,,,
58,419,FL,Weston,Air pollution - particulate matter,total population,7.9,Florida,68388,26.1003654,-80.3997748,,,
59,14,FL,West Palm Beach,Air pollution - particulate matter,total population,7.3,Florida,102436,26.7153424,-80.0533746,,,
60,451,GA,Albany,Air pollution - particulate matter,total population,8.3,Georgia,76185,31.5785074,-84.155741,,,
61,841,GA,Alpharetta,Air pollution - particulate matter,total population,9.5,Georgia,62298,34.0753762,-84.2940899,,,
62,382,GA,Atlanta,Air pollution - particulate matter,total population,9.6,Georgia,447841,33.7489954,-84.3879824,47.7,43.7,41.7
63,943,GA,Brookhaven,Air pollution - particulate matter,total population,9.7,Georgia,50603,33.8651033,-84.3365917,,,
64,35,GA,Columbus,Air pollution - particulate matter,total population,9.0,Georgia,202824,32.4609764,-84.9877094,,,
65,406,GA,Johns Creek,Air pollution - particulate matter,total population,9.5,Georgia,82788,34.0289259,-84.198579,,,
66,360,GA,Macon,Air pollution - particulate matter,total population,9.0,Georgia,89981,32.8406946,-83.6324022,,,
67,12,GA,Marietta,Air pollution - particulate matter,total population,9.6,Georgia,59089,33.952602,-84.5499327,,,
68,415,AL,Hoover,Air pollution - particulate matter,total population,9.8,Alabama,84126,33.4053867,-86.8113781,,,
69,971,GA,Roswell,Air pollution - particulate matter,total population,9.6,Georgia,94034,34.0232431,-84.3615555,,,
70,817,GA,Sandy Springs,Air pollution - particulate matter,total population,9.7,Georgia,99770,33.9304352,-84.3733147,,,
71,495,GA,Savannah,Air pollution - particulate matter,total population,7.9,Georgia,142772,32.0835407,-81.0998342,,,
72,306,AL,Huntsville,Air pollution - particulate matter,total population,8.5,Alabama,186254,34.7303688,-86.5861037,,,
